Metric,False Negative Median,False Positive Median
PageValues,0.0,17.42585352
ProductRelated,35.5,36.0
ProductRelated_Duration,1413.5125,1344.3750275000002
Total_Pages_Viewed,40.5,42.0
Total_Browsing_Duration,1613.4650000000001,1541.9416664999999
Product_Page_Share,0.9038461538461537,0.90257405809606
Avg_Duration_Per_Page,34.98292357232735,34.55242121231883
Product_Duration_Share,0.9214615699059855,0.9369111468652209
BounceRates,0.0029357895,0.003572568
ExitRates,0.022309027500000002,0.019501082
Prediction_Probability,0.22607180668766005,0.7811429284737315
