Original_Feature,Importance
PageValues,0.7498696027302805
Month,0.1116776578275993
TrafficType,0.041473428553336494
Region,0.018451089161914704
Administrative,0.013464995924385497
Product_Page_Share,0.009530447254088097
VisitorType,0.008226994099831603
Informational,0.006623481309246965
Total_Pages_Viewed,0.005852292174042749
Weekend,0.005453397846785785
BounceRates,0.005429045935016461
OperatingSystems,0.004854882825305653
ProductRelated_Duration,0.003513132118838639
ExitRates,0.0033969239945334092
ProductRelated,0.003116398708147537
Browser,0.002866108824792879
Total_Browsing_Duration,0.002712612037247166
Administrative_Duration,0.0010005478696408436
Product_Duration_Share,0.0009477850740219967
Informational_Duration,0.000844081124902413
Avg_Duration_Per_Page,0.0006950946060416905
SpecialDay,0.0
