Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Gradient Boosting,0.8984022941417452,0.6558139534883721,0.7382198952879581,0.6945812807881774,0.9319740432121525
Tuned Gradient Boosting,0.8934862761163458,0.6326086956521739,0.7617801047120419,0.6912114014251781,0.9323491045569317
Tuned XGBoost,0.8943056124539124,0.6390134529147982,0.7460732984293194,0.6884057971014492,0.9353019180255755
Tuned Random Forest,0.8975829578041786,0.6594202898550725,0.7146596858638743,0.6859296482412061,0.9262781963490639
Tuned HistGradientBoosting,0.8914379352724293,0.6302895322939867,0.7408376963350786,0.681107099879663,0.9363686179180155
Voting Classifier,0.8906185989348627,0.6274944567627494,0.7408376963350786,0.6794717887154862,0.931487099161134
Random Forest,0.9008603031544449,0.6881720430107527,0.6701570680628273,0.6790450928381963,0.9207380952986379
Stacking Classifier,0.8963539532978287,0.6616541353383458,0.6910994764397905,0.676056338028169,0.9200826914910659
HistGradientBoosting,0.8959442851290454,0.6641025641025641,0.6780104712041884,0.6709844559585493,0.9313040183691061
XGBoost,0.8943056124539124,0.6666666666666666,0.6492146596858639,0.6578249336870027,0.9250856284121047
Logistic Regression,0.8459647685374846,0.505,0.7931937172774869,0.6171079429735234,0.9082078678970376
Tuned Extra Trees,0.8725931995083982,0.6053412462908012,0.5340314136125655,0.5674547983310153,0.8929206217627121
Decision Tree,0.8557968045882834,0.5350467289719626,0.599476439790576,0.5654320987654321,0.7514137905606596
Ridge Classifier,0.7832855387136419,0.40027137042062416,0.7722513089005235,0.5272564789991063,0.8586514573993882
Extra Trees,0.8770995493650143,0.664,0.43455497382198954,0.5253164556962026,0.895213581543422
