Feature,Importance_Mean,Importance_Std
PageValues,0.5058118705296779,0.014998396629241541
Month,0.0337401297372101,0.008244482155214767
Administrative,0.009257193893889204,0.0034825098565297685
BounceRates,0.007880553873672137,0.003408154057683233
TrafficType,0.00764102723033584,0.0033113374931407484
ExitRates,0.006891622451199342,0.004348175681278685
Region,0.006003119722358808,0.0022748443151828284
Total_Browsing_Duration,0.003113048165195109,0.0020358728914263735
OperatingSystems,0.002492318947437189,0.003561128569058175
Weekend,0.0022446909098104207,0.0016498493608976337
Total_Pages_Viewed,0.0016483341672258289,0.0029864693058296223
Avg_Duration_Per_Page,0.001364521732113777,0.0018514318066759708
ProductRelated,0.0005461030089506825,0.0016800213715272444
ProductRelated_Duration,0.00047270061179356394,0.001425044884114806
Informational,0.00030261867316085935,0.0030315770753854975
VisitorType,0.00017127470244461264,0.002683210903852358
Informational_Duration,9.250310921565807e-05,0.0006345884919951143
Product_Page_Share,1.494412548974644e-05,0.0022712303860831485
SpecialDay,0.0,0.0
Product_Duration_Share,-9.171100378744246e-05,0.0015630595740563954
Browser,-0.0012408701963223302,0.0010218294104567625
Administrative_Duration,-0.002819806543272574,0.0016104516947919086
